layer,layer_type,arithmetic_intensity,sensitivity,flops
stem.conv1,Conv2d,4.907620452856144,2.498850790288998e-06,56623104
stem.conv2,Conv2d,23.860194174757282,6.622492946917191e-06,301989888
block1.depthwise,Conv2d,0.4498023329591488,1.756855817802716e-05,2359296
block1.pointwise,Conv2d,10.556701030927835,1.1547023859748151e-05,33554432
block2.depthwise,Conv2d,0.4492103723922792,2.302065331605263e-05,1179648
block2.pointwise,Conv2d,19.692307692307693,1.6102480003610253e-05,33554432
block3.depthwise,Conv2d,0.44685802948021724,3.097652370342985e-05,589824
block3.pointwise,Conv2d,27.214953271028037,2.6049097868963145e-05,47710208
block4.depthwise,Conv2d,1.1055662188099808,1.801089456421323e-05,1677312
block4.pointwise,Conv2d,37.57419354838709,2.175512236135546e-05,135675904
block5.depthwise,Conv2d,1.1055662188099808,1.9586510461522266e-05,1677312
block5.pointwise,Conv2d,37.57419354838709,2.9862580049666576e-05,135675904
fc,Linear,11.353269133299543,0.00016916503955144435,9318400
