model,dataset,kind,model_label,sample_index,true_label,pred_class,attr_mean,attr_mean_abs,attr_l1,attr_l2
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),0,4,4,0.001763146374187663,0.021723250634123007,667.3382594802588,5.683127114577127
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),1,4,4,0.0021395097813742344,0.023964503745198467,736.1895550524969,6.664590193846968
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),2,6,6,0.0028087617555001996,0.031906909827512445,980.1802699011823,8.842700335583459
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),3,8,8,-0.0002577437102114999,0.028701012914587782,881.6951167361367,8.527757369315479
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),4,6,6,0.0024037416686193856,0.02239314000827409,687.91726105418,6.828583574858085
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),5,1,1,-0.0028807203754322923,0.03980715425975555,1222.8757788596904,10.861323874214007
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),6,1,1,-0.001616488400441855,0.033181813777079704,1019.3453192318884,9.301728733146723
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),7,0,0,0.0028552825092581576,0.03475987127855742,1067.823245677284,9.947714607327592
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),8,3,3,0.0018273156344934685,0.019686542320667164,604.7705800908952,5.558662605919392
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),9,5,5,-0.0019175940439740912,0.0356550339581311,1095.3226431937874,13.096800234749882
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),10,1,1,0.0007357755149553983,0.0440057905058139,1351.857884338603,12.182255892849259
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),11,2,2,0.0022113258958743978,0.018658957361145135,573.2031701343785,5.003059320321601
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),12,7,7,0.00021068769169622266,0.021617990757349936,664.10467606579,6.429999592231302
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),13,5,5,0.002486444894609955,0.026020253252692763,799.3421799227217,6.956808403325618
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),14,2,2,0.00278889154947309,0.019022375012980732,584.3673603987681,5.575499123696591
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),15,1,1,0.0011260173439467873,0.027735333863248297,852.0294562789877,7.782723485508867
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),16,2,2,0.003149863430683375,0.02407002641864609,739.4312115808079,6.530261989477898
VGG16,Cifar10_epochs100_pretrain300,Dynamic_Region_All_Combined,VGG16 (Pruned Finetuned),17,8,8,0.003012780003022512,0.024794917633900314,761.6998697134177,7.368245535506467
